"name","email","address","phoneNo","likesHaggis"
"Joshua Baxter","joshuabaxter@outlook.com","32, Man Street, Leeds, LS1 2EE","01792641038","No"
"Christopher Brown","christopherbrown@outlook.com","22, Glendale Road, stirling FK11 5TY","0117254436","Yes"
"Barbara Smith","barbarasmith@live.com","10, Pinetree Avenue, Lenzie, G66 7YU","0141393475","No"
"Daniel McGregor","danielmcgregor@hotmail.com","123 Fake Lane, Fakeland, G12 3RE","01528722741","No"
"Richard Anderson","richardanderson@example.com","64, Busy Street, London, W2 3RT","0116402672","Yes"
"Stephen Brown","stephenbrown@helloworld.com","32, Man Street, Leeds, LS1 2EE","0116795955","Yes"
"Joshua Norman","joshuanorman@googlemail.com","64, Busy Street, London, W2 3RT","0161565252","Yes"
"Martin Brown","martinbrown@gmail.com","32, Man Street, Leeds, LS1 2EE","0114274698","No"
"Stephen Murray","stephenmurray@live.com","1, Glasgow Road, Edinburgh, EH56 4RE","0117255597","No"
"Andrew Jenkins","andrewjenkins@live.co.uk","10, Pinetree Avenue, Lenzie, G66 7YU","0117696923","Yes"
"Ashley James","ashleyjames@hotmail.com","1, Glasgow Road, Edinburgh, EH56 4RE","0114702142","No"
"Kimberly Lescott","kimberlylescott@example.com","Grand Arcade, Lisington lane, London, W1 6TY","01389706771","Yes"
"Richard Barry","richardbarry@example.com","150, Inglewood Avenue, Bradford,BD45 3RE","01952251760","No"
"Donald Barry","donaldbarry@live.co.uk","44, Anfield road, Liverpool, L12 7TY","0116764236","Yes"
"Bobby Owen","bobbyowen@aol.com","22, Glendale Road, stirling FK11 5TY","0114642311","Yes"
"Raymond Norman","raymondnorman@hotmail.com","1, Glasgow Road, Edinburgh, EH56 4RE","0113260904","Yes"
"Mary Lescott","marylescott@gmail.com","22, Glendale Road, stirling FK11 5TY","01702471869","No"
"Ashley Brown","ashleybrown@live.com","10, Pinetree Avenue, Lenzie, G66 7YU","01792208435","Yes"
"Michael Jenkins","michaeljenkins@hotmail.com","150, Inglewood Avenue, Bradford,BD45 3RE","01389953798","Yes"
"Barbara Lescott","barbaralescott@aol.com","1, Glasgow Road, Edinburgh, EH56 4RE","0114660455","Yes"
"Christopher Owen","christopherowen@example.com","32, Man Street, Leeds, LS1 2EE","01526224877","Yes"
"Ashley Smith","ashleysmith@gmail.com","Grand Arcade, Lisington lane, London, W1 6TY","01389215474","No"
"Andrew Smith","andrewsmith@gmail.com","150, Inglewood Avenue, Bradford,BD45 3RE","0151730015","Yes"
"Christopher Murray","christophermurray@aol.com","32, Man Street, Leeds, LS1 2EE","01506883592","No"
"William Norman","williamnorman@gmail.com","Grand Arcade, Lisington lane, London, W1 6TY","0141389677","No"
